,University,2014 Authors Mean,2014 Authors Log Mean,2014 Authors Std,2014 Authors log Std,2015 Authors Mean,2015 Authors Log Mean,2015 Authors Std,2015 Authors log Std,2016 Authors Mean,2016 Authors Log Mean,2016 Authors Std,2016 Authors log Std,2017 Authors Mean,2017 Authors Log Mean,2017 Authors Std,2017 Authors log Std,2018 Authors Mean,2018 Authors Log Mean,2018 Authors Std,2018 Authors log Std,Authors Mean Change,Authors Mean Acc,Authors Std Change,Authors Std Acc
26,"University of California, Berkeley",85.725,85.56724124421054,5.3197156878915965,1.0618600553500428,116.18125,116.07552347996875,5.048356013347323,1.0431915110382495,125.28125,125.2241591015031,3.8538485229053827,1.030366816449308,94.29375,94.21869604004198,3.8415440824621574,1.040288347571348,243.0,178.0557448544853,718.7996156788065,1.5542267561168528,39.31875000000001,39.41666666666667,178.36997499772872,238.40981042362955
27,University of Toronto,85.08125,85.05504343171026,2.1504995785863406,1.0249053991359063,115.55625,115.5294759605937,2.5415223661223196,1.0215292739138635,123.09375,123.054105561081,3.2706973167048035,1.0251232449132581,93.6,93.56358489630503,2.775337817275574,1.0274506491793396,114.09375,114.08766999270411,1.1978985505876532,1.0102903084661847,7.253125000000001,-3.3270833333333343,-0.23815025699967185,-0.6561540180746332
28,The University of Manchester,96.69375,96.13576134242737,10.921307656938342,1.1111670201471247,122.225,121.98462197824249,8.166203218142437,1.062865522514313,129.55625,129.37179691804658,7.3669421022226045,1.0531588428528353,97.54375,97.11544751563339,10.487401295721455,1.0917817070873594,118.2,117.97808063628013,7.95282968508694,1.0603400793868496,5.376562500000002,-1.625,-0.7421194929628505,0.07351094272046381
29,Peking University,80.74375,80.5815925700338,5.332971586039065,1.06417473614521,83.075,82.93222974861247,5.1859786925902345,1.0585673363152126,108.51875,108.38120916824776,5.563240821454704,1.0512133867110318,121.925,121.87831087985128,3.5418039189091264,1.0274079729667138,146.26875,146.21068055171514,4.331168830408257,1.0279001049895666,16.38125,7.337500000000006,-0.25045068890770206,0.31211926831598696
30,King's College London,80.05625,80.05584460860203,0.2560975156068469,1.0031792033232025,108.13125,108.13066825380984,0.35570133187830616,1.0032809889189922,123.13125,123.12971496255915,0.6237174340196054,1.0049701378491387,82.64375,82.58657727700039,3.382578297319973,1.0361188579850864,88.43125,88.41030947257002,2.0421247360286405,1.0213601006740793,2.09375,-7.42916666666666,0.4465068051054484,-0.48001912585426404
31,"University of California, Los Angeles (UCLA)",84.3125,84.03328509163573,6.958975768746432,1.0842613660617584,85.65625,85.51997781933557,4.882426234721832,1.0577515551418095,108.36875,108.31930785600274,3.2607933754686145,1.0307365163591953,122.7875,122.77253881995027,1.9409646441911275,1.015636354414861,146.525,146.5080714840196,2.2664675157610383,1.0151854924643733,15.553125000000001,7.464583333333337,-1.1731270632463486,0.8006841351981704
32,McGill University,87.875,87.74308859061192,4.907583417528428,1.05580367686112,116.73125,116.65641273522434,4.259873641025063,1.0361149786497006,124.94375,124.91245659591058,2.8311810146121097,1.0224947252948455,93.98125,93.93675595733572,2.946336443364876,1.03096023308122,114.38125,114.340489428596,3.1061871221000086,1.0268261633086397,6.626562499999999,-2.8187500000000036,-0.45034907385710476,0.2691868184128324
33,Northwestern University,84.475,84.03175445358664,8.847280655659121,1.1068127306022626,86.2125,86.06394849498666,5.101945094765333,1.06024983202079,108.71875,108.61008706558651,4.927184636026947,1.0454503662649268,123.2875,123.24413195194663,3.4521505978157956,1.0261615805971016,146.65,146.63159252528746,2.3270152556440205,1.015959508165447,15.543750000000003,7.208333333333333,-1.630066350003775,0.8734000729073377
34,Kyoto University,84.65625,84.62000427281902,2.552074829917806,1.0292575354044626,114.925,114.89329706775857,2.7851166941440604,1.0234004464006974,124.275,124.2364649944852,3.1681027445460286,1.0249224252246314,93.08125,93.05379965078541,2.307519975536512,1.024332840565807,114.16352201257861,114.13256774409831,2.7216213578587896,1.0232857580832229,7.376818003144653,-3.0621593291404614,0.04238663198524584,0.06035317269867443
35,Seoul National University,25.28125,24.656997616099623,6.547109930152388,1.235022971779316,61.08125,60.85733160488083,5.414069489533728,1.088075730194164,108.95625,108.82537362348522,5.509476920497984,1.0494948328219713,122.2625,122.18181406409639,4.684398974254869,1.0360353438891574,145.8875,145.8482483496902,3.5177896113895164,1.023026205188805,30.151562499999997,-4.058333333333337,-0.7573300796907179,-0.01118964074889739
